Subject #,Left Out Info ,Left Out Info - Why?,Human Comparison 
1,Agree,once information was given previously didnt see a reason to repeat it,"if they were next to me i would point to attributes, would have been the same information though"
2,Strongly Disagree,I didnt think to leave out anything i had already included.,You dont need to explain to a person as detailed of concepts because they can build their own thoughts and fill in blanks.
3,Disagree,"I generally tried to repeat myself so that the ""computer"" could learn from repetition of principles. Also I found myself repeating principles or rules that occurred to me only in repetition.","I would have asked questions and invited questions.
 I would have quizzed the students on the concepts, and had them recognize sample concepts."
4,Disagree,Reinforcement of information is important. I tried to include the information in subsequent explanations because it reinforces the concepts.,"Actually, I believe that these explanations were more suitable for a human. If I was actually teaching a computer, the rules would have been much more specific."
5,Disagree,I always tried to make the computer recall the concepts explained before when it happened that they got repeated,"I think I'm not a good teacher, but I would have used the same method and, for sure, more examples, both with a human and with the computer. 5 picture are too few, I suggest you to go for 50 next time (and to raise to pay to $50 as well, lol :)"
6,Agree,"For example, in the crossroad exercise, I didn't think 90 degree angles needed to be mentioned every time, although most commonly crossroads are, or that perpendicular lines were necessary to say every time. It seemed if the computer was learning from the series, having it described one way one time, and another way the next, would be more thorough and more beneficial.","Not sure. Perhaps go on youtube to find videos that show the process of eating, so the various steps are seen, for that example."
7,Neutral,it is hard teaching a pc when i am not sure what it alreayd knows,i would have told it why more and epanded things better
8,Agree,The timer was only one minute. Describing what was relevant in the current picture to train was more important. I couldn't know an exhaustive list of all qualities that applied or excluded a picture from the concept in any one picture.,"I would demonstrate some of the things that required an action, like eating. I would compare a photo to something I knew the other person was familiar with, either due to location or how it's known in culture. I would ask the person for feedback, in case the explanation was unclear. I would allow questions back to me do I could better explain the concept with what I know."
9,Agree,I was only repeating what I had already said and there is only so much that can be said when the definition is very straight forward.,I would not have repeated myself so much or been so simplistic in my explanations.
10,Disagree,I wanted to be as thorough as possible.,I would have described the opposite concept as a point of comparison.
11,Neutral,no i didnt do that,nothing really.
12,Disagree,Repetition helps with learning concepts.,nothing
13,Disagree,"I wanted to explain myself completely in each photo. If the computer is not shown all the images, I want it to be able to understand with a single image that it does see.","I don't think there is anything I would do differently. All the concepts I explained, I would probably do when teaching a human too. Maybe not go in such great detail, but basically the same."
14,Disagree,"Sometimes I repeated myself, but I tried to phrase it a little differently each time in order for the computer to integrate all descriptions.","I wouldn't change anything. I believe I wrote my explanations more as if a human was reading them, not a computer, so I believe all concepts would be easy for a human to grasp."
15,Strongly Disagree,I described the concepts the best I could.,I would have included emotions or feelings.
16,Disagree,I tried to restate as best as I can ore explain in a different way.,maybe some overlay or drawings.
17,Disagree,I don't think that I did that for the most part. I tried to give descriptions based on the particular picture without taking into consideration the other descriptions that I gave.,I would probably give less details and have more expectations for a human to understand.
