Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
1,Yes,roads clearing completely intersect,No,not a road and they dont intersect,Yes,"multiple roads crossing , intersecting each other",No,"can not see the actual road, they also dont appear to cross each other but rather join",Yes,2 roads cross each other fully,Agree,good examples of roads intersecting,Agree,cant think of anything else to show,"cant think of anything missed, pretty straight forward",,
2,Yes,The white lines running parallel next to the stop sign are a cross road for pedestrians.,Yes,2 different rail lines cross each other.,Yes,It is a 4 way stop. Every car has to stop when they approch this They have stop signs on 4 corners.,Yes,The yellow boxes are pedestrian walk signals. Anytime these are present there is a crossroad next to them.,Yes,It is a 4 way intersection so there are multiple crossroads. Every direction can cross into one of the 3 on the crossroad.,Agree,I clearly described the markings that would indicate a crosswalk,Agree,I demonstrated how people or transit are crossing the other paths,nothing that i can think of,,
3,Yes,"You see the meeting of two streets in a + shape formation. The photograph does not show the full + shape; nevertheless, it is clear that the photograph is taken at the perpendicular meeting of two streets",No,"This image shows the junction of two separate train tracks, but no intersection of tracks and no distinctive + shape. Without the intersection it cannot be called a crossroad.",Yes,"You will see the intersection of two roads. Generally the roads will intersect perpendicularly, so that the resulting shape as seen from the sky looks like this: +. This + shape formed by the intersection of two roads is the surest sign of a crossroad.",No,"What you see here is the symbolic representation of a crossroad as indicated by the street signs, Broadway and Spring St. The photograph is taken on the corner of B'way and Spring. But you do not see the road itself, and therefore this cannot be called a crossroad.",Yes,"Here you see both the actual crossroad and the representation of the crossroad by the street signs. The two roads meet perpendicularly to form a + shape from above. Both streets are visible, as is their intersection.",Agree,I think I've outlined at least one major principle of the crossroad.,Agree,"I think I taught one important principle of the crossroad, and taught the computer to recognize that when it appears.","I might need to teach about crossroads from certain odd angles, and odd types of crossroad.",,
4,Yes,There are roads that intersect at a 90 degree angle. Another indication that there is a crossroad is the stop sign in the image.,No,"This image has lines in the form of lines, but they do not intersect. Merging lines are indicative of a fork, but not a crossroad. A crossroad usually occurs where lines are perpendicular.",Yes,"In this image there are two roads that meet at a 90 degree angle. This is a sign that there is a crossroad. There is not a traffic light here, however there is a stop sign. Stop signs are often present when there is a crossroad.",Yes,"In this image, there are street signs that indicate a crossroad. The signs for the streets are perpendicular to one another. This is a type of crossroad. There are lines that intersect.",Yes,"Crossroad often refers to the point at which two lines meet. In this image, there are to roads that cross each other. A crossroad often has traffic signals nearby as this image does.",Neutral,I gave tangible indicators of a crossroad. Perpendicular lines are a good indication.,Neutral,"Similar to above. Looking for stop signs, traffic lights, and perpendicular lines are a helpful cue.",This task would probably require a lot more examples for the computer to train on.,,
5,Yes,"There is a stop signal, and this always means that you must completely stop your vehicle and let other car pass and pass when the road is free or when it becomes your turn.",Yes,"There is a crossroad, but it's not for vehicles, it's just for train. You can see the crossroad in the upper, center part of the picture, where the railways cross each other to allow the train to move from a railway to another.",Yes,"There is a stop signal, and as we saw in the first picture of the series, it always means that a vehicle must stops and allow other vehicles to pass (or pass when it will be its turn)",Yes,"The crossroad isn't visible, but we understand from the street signs that there is a crossroad between Spring Street and Broadway.",Yes,"There are red lights, and they always mean that there is a crossroad in which some car are stopped by the lights while some other are allowed to pass and vice versa,",Strongly Agree,I gave the computer some hints from which it will be able to understand when there is a crossroad,Agree,"There is the case of a crossroad without signals that hasn't been contemplated, but the computer should be able to understand that there is a crossroad from the signs with the names of the streets, from the stop signals, and from the red lights.","As I said, there is the case of low traffic crossroads in which there are no signals, it would have been useful to add a picture of one of these streets as well.",,
6,Yes,Roads running in perpendicular lines cross here.,Yes,"A crossroad is the intersection of two roads. In the image above, it's a rail line, but they do intersect. In other words, one crosses over another.",Yes,"There are two streets in the image, meeting at an intersection, and crossing over each other.",Yes,"Although you can't see the road itself in the image above, you can see the signs for the streets below. The signs clearly show that Broadway and Spring street meet here, and cross over each other.",Yes,Two paved roads meet at a 90 degree angle and continue on.,Agree,The basic concepts regarding what a crossroad is have been covered.,Agree,I believe the information given is sufficient the computer will be able to tell for itself in the future.,I can't think of anything relevant that hasn't been covered.,,
7,Yes,there are 4 roads crossing each other which makes them a crosses roads,No,roads are something a car uses the image is that of a railroad car which uses tracks.,Yes,4 roads are meeting at a point and intersect.,No,there is just a picture of a bunch of signs there is no road so to speak in the picture,Yes,above are the roads that seem to be crossing at a certain point making them a crosroads,Agree,i gave a defination on what crossroads are,Agree,i used what people use to tell what crosroads are,no to tell from signs if a road is a crossroads,,
8,Yes,Two streets intersect on the left side of the photo. A crosswalk is on the right side. The road is paved and stop signs are visible for vehicles traveling forward in the picture.,No,The photo shows parallel train tracks joining. A switch on the track is near the middle top of the photo. A train is visible on the right most track. This is not a crossroad. Crossroads are intersections of streets.,Yes,The photo shows a four way stop intersection. Each street has one lane of traffic in each direction. The intersection is a crossroad.,Yes,This is a sign showing that the corner is an intersection of Broadway and Spring St. The two streets cross at that point so it is a crossroad.,Yes,"The signs are not visible, but two intersecting streets are visible. There are lights on all four directions showing when to stop or go. The streets appear to continue far out of the point where the photo was taken.",Strongly Agree,These pictures were easier to classify. I defined a crossroad as the intersection of streets going in different directions. I pointed out that the streets continue out of frame and how street signs can indicate that streets are present. I also showed how to exclude parallel train tracks from the concept of crossroads.,Neutral,"There may be some similar photos where the rules work, but different conditions like unpaved streets and angles which cut off part of the picture might not be picked up as a crossroad.",More training data showing different types of crossroads would help. Geo tags and maps of the area might help with certainty since a photo of a sign might exclude the street median that stops through traffic.,,
9,Yes,It clearly shows a road crossing another road. That is the definition of a crossroad.,No,A cross road is two roads crossing and this does not show roads at all. It shows only railroad tracks.,Yes,This shows more than one road crossing the other. A crossroad is a road that crosses another road and that is shown here clearly.,Yes,This shows signs going in two different directions so this indicates two crossing roads which is the definition of a crossroad.,Yes,This shows a road crossing another road which is the definition of a crossroad.,Strongly Agree,I gave a clear definition,Strongly Agree,I gave a clear definition of a crossroad.,I don't think there is anything else to add to it - it is a straight forward explanation of what a crossroads is.,,
10,Yes,two roads are crossing each other. There is a choice of which direction to go in. the stop sign indicats the intersection of two roads,No,This is an image of train tracks not a road,Yes,There are two different roads that cross each other forming an intersection. When at the intersection a person has a choice of directions to go in.,Yes,The signs on the pole indicates that there is a side street branching off of the main street,Yes,There are two roads intersecting. drivers have a choice of which direction to go in. Traffic lights indicate the intersection of two roads,Strongly Agree,I was able to give the computer things that would indicate a crossroad,Strongly Agree,I was able to show what did and did not indicate a crossroad,more examples of what is not a crossroad,,
11,Yes,the stop sigh in the middle of the road indicates that there are four roads instead of just the three roads intersecting.,No,there are only two roads merging into each other.,Yes,four different roads intersecting with road signs,Unsure,"I have no idea because I can't see the streets, plus there are one way streets for two.",Yes,there are four roads intersecting with each other. there are four lights and four street signs.,Agree,"yes, I think I did an okay job.",Agree,I'm not sure if five examples is enough data for them to generalize,no other information,,
12,Yes,"The image shows a street going straight ahead and another street going to the left and right. So, the streets cross each other, making a crossroad.",No,The train tracks are not roadways.,Yes,"Two streets in the image are perpendicular to each other, so they are crossing each other.",Yes,"Though we cannot actually see the roads intersecting, the signs indict that two streets are crossing each other at this point.",Yes,The street lights and signs indict that there are two streets crossing each other here.,Agree,The computer should be able to distinguish two streets intersect each other.,Agree,"The indicators of lights, signs, and intersecting streets are all common of any crossroad.",Perhaps that crossroads are streets intersecting on land.,,
13,Yes,These roads cross each other in this picture. This picture has a stop sign signalling traffic to stop.,No,These trains tracks do not cross one another. They are close to each other but they do not cross.,Yes,This is an intersection of two different roads. They cross each other forming a crossroad. They also have a stop sign.,Yes,This street sign signals the name of the two streets that are crossing one another. Spring goes ones way and Broadway goes another. They form an X as they cross each other.,Yes,Crossroads in this picture is where the two roads cross each other. Forming and X with the two roads. Crossroads usually have stoplights or stop signs as well.,Strongly Agree,"If the computer looks for roads that cross, then I think they will be able to identify a crossroad.",Strongly Agree,"Looking for roads that cross, and have stop signs or stop lights, they should be able to identify them in the future.",Nothing more to add.,,
14,Yes,"This photo shows an intersection of two streets, a.k.a. a crossroad. There are no street lights, but the stop sign on either side of the east-west street and the crosswalks are evidence that these streets fully intersect.",No,"The photo shows what looks to be a train yard, with no roads in sight. There is one small section of track that crosses over, but since it is not a road, it doesn't meet the definition of ""crossroad.""",Yes,"The photo shows an intersection of two roads, the definition of a crossroads. Some of the signs are difficult to see, but there are four stop signs, making this a four-way stop.",Yes,"While the roads themselves are not in the photo, the street signs indicate there is an intersection of two streets. Despite both being one-way streets, it still counts as a crossroad because one crosses the other.",Yes,"This is a photo of two roads intersecting, the very definition of ""crossroad."" Even though it's dark, it's easy to see there are traffic lights for each direction.",Strongly Agree,"I provided evidence for the existence of a crossroad, with clues such as four-way street lights and stop signs.",Agree,I feel I provided enough explanations and reasoning for future images to be identified.,"It may need further context and definition. For example, I'm unsure if two one-way streets across from each other emptying onto a two-way street counts as a crossroad.",,
