Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,
1,Yes,food on plates at a table. people gathered,Unsure,looks like a block of wood but cant be sure. might be eating it but i cant tell,Yes,food being inserted into a mouth,No,the person isnt near food,No,no person or animal in the photo to eat the food ont he plate,Agree,did what i could with what iw as given,Agree,few good examples but still only 5 photos,really need at least one person very close to food for eating to be happening,
2,Yes,The men are actively eating. The man on the left is using a fork to pick up the food that he will put in his mouth.,Yes,The horse is licking the salt to get it in its mouth,Yes,"There is food all around the table and the 2 girls are picking up the food and putting it in their mouths
 The one on the right is using her teeth to bite the food.",No,There is no one is about to eat.,No,"It is a picture of food that you could eat, but no one is eating it.",Agree,It was very clear in every image if eating was happening,Agree,I clearly described how the food would need to enter a persons mouth to be eatten and how it gets there.,"How it needs to be chewed, swallowed, digested.",
3,Yes,"This is a scene of men dining together at a table. At the time this photo is taken not one is eating in the active sense -- you do not see any one person lifting food to his mouth, chewing and swallowing food, etc. and yet they are clearly photographed while eating.",Unsure,"The horse depicted seems to be licking a salt lick in the trough. I'm not sure whether this is a salt lick. It might be a kind of food, in which case the horse is eating with its tongue (as is common with many animals).",Yes,The woman on the right of the image is engaged in the act of eating. She has lifted a piece of food to her mouth and is in the process of putting it in her mouth to masticate and ingest the food.,No,This is a scene of food preparation. The person with back to us is preparing food to be eaten.,No,"The image is of a slice of cake which is meant to be eaten, or masticated and digested by an animal or human being. The fork next to the cake signifies that it is ready to be eaten. But no act of eating is depicted; nor is an eater depicted.",Neutral,I'm not sure that eating is a category with borders clear enough to recognize in future images.,Disagree,"Several examples tripped me up, for instance the horse and the men at the table. In the latter case they were clearly eating together though no physical act of eating was shown.",I haven't taught the varieties of contexts in which eating may rightfully occur.,
4,Yes,"This picture shows people and food. These are indications of eating. Also, forks are in the image. Forks are often present when eating is taking place. There is also a table and chairs. Tables and chairs are often present while eating is occurring.",Yes,"There is both food and an animal in this picture. The food is near the animal's mouth. There is a trough, which is often present while animals are eating. The tongue is another indication that eating is taking place.",Yes,This image contains both food and people. Food is near the mouths of the people. There is a fork and a spoon present. There are tables and chairs in the image which are often present when food is being eaten.,No,"There is a person in this image, but there is not food. There is also not a fork, knife, or spoon in the image. There is a table, but there are no chairs.",No,Eating is a condition when there is the presence of food and a person or animal. Eating involves the mouth which is absent in this picture.,Agree,"Tangible indicators were given including people, food, utensils, tables, chairs, etc.",Agree,These tangible indicators I gave above are things that are often present in many different images and easily identifiable.,Eating with your hands or while walking would cause problems.,
5,Yes,Those people are sitting around a table while they have dishes full of food in front of them. They're using forks to bring the food to their mouths and eat it.,Unsure,"This horse is licking something on a bench, but since it's hard to be sure about what is the object the horse is licking, we cannot be sure if he's eating or if he's using is tongue to ""explore"" that object or to lick some water or other liquids that might be on top of it.",Yes,Once again there are people sitting at a table with dishes full of food in front of them and cutlery to eat it.,Yes,"This is a kitchen, it can be recognized by the furniture made of iron and from the pots that are on the stoves. In the kitchen people cook the food they, or someone else, will then eat, so they can be associated with the concept of eating.",Yes,"In this picture there is a slice of chocolate cake, with a napkins and a fork, ready to be eaten.",Strongly Agree,I gave the computer all the indications to recognize the action of eating,Disagree,"There might be some case in which someone might be playing with a rose inside his/her mouth or any other object that won't be eaten. This might be confusing for the computer, but it's also true that even humans cannot be 100% sure that a people in a picture it's eating a strawberry or just playing with another strawberry made of plastic..","As I said it's not possible to be completely sure from a picture that the concept of eating will really produce the action eating, but I think the computer should be able to understand when that concept is present.",
6,Yes,"There are many people gathered here at a long table. On the table are dishes full of food and cups of drinks as well as common utensils and seasonings. Many of the people in the image have eating utensils in their hands and are in the process of bringing food to their mouths to take it into their bodies for sustenance. Some appear to be chewing food, which is done before swallowing it as part of the eating process.",Yes,"Horses in this image are grazing upon grass, which is how they take their most common food into their mouths to eat. One is licking a salt block, which is another way they intake nutrients for survival.",Yes,"People in the image are putting food into their mouths. They're at a table, upon which are plates of food, cups of drinks, and utensils commonly used for eating.",No,"The image contains a chef, who prepares food for eating, and plates of food ready to be eaten, but no one is eating here.",No,"Although there is a plate of food and an eating utensil in the picture, there is no entity currently taking the food into their body for sustenance.",Agree,The basics of eating have been covered.,Agree,Context and action have been covered.,I can't think of anything that may have been missed.,
7,Yes,people are putting food in there mouths,Yes,a animal is lick and injsing some food,Yes,people are putting food in threir mouths,No,this is cooking not eat which is puttting food in your mouth,No,it is a pic of food no people eating it,Strongly Agree,it told it what eating is,Strongly Agree,i explianed my action about what eating is,i did not teach it about drinking,
8,Yes,People in the photo have dishes with food in the photo. People are using utensils to pick up the food and consume it. There are placemats on the table. There are drinks in front of each person.,No,"A horse is licking a salt brick in the photo. Licking is not the same as eating. The horse if not taking bites out of the salt brick. Biting, chewing and swallowing are part of eating.",Yes,"Two women in the foreground are eating a meal. Plates with food, and drinks are on a table. Both women are using their hands to eat, and leaving utensils unused.",No,There are plates visible on a table. The table is a counter where food is prepared. Preparing food happens before eating.,No,"A plate with chocolate cake and a fork are visible. The food is edible, but no one has started eating it yet. There is no person in the photo. Eating is when a food is being consumed.",Agree,"The descriptions are the components of what's used for eating, and the actions required. It should be able to classify when food is on a table and people are using utensils or their hands to pick up, chew and swallow the food.",Agree,"Food being picked up by hands or utensils and chewed in any circumstance should be picked up based on my descriptions. Odd pictures like consuming liquids might be eating, but it's harder to classify. Exclusions made for food by itself or not biting and chewing should limit other pictures.","More types of food and how they are eaten should help. Describing the actions, which can't be captured in a still photos, might be necessary to understand that eating is happened without an immediate cue that something is being bitten into.",
9,Yes,"These people are sitting at a table set for a meal. Some have forks in their hands and they are actively take the good and eating it. A few of the people seem to be chewing, or at least have food in their mouths - which is what eating is.",Yes,The horse is licking which is a form of eating but the horses in the background have their heads to the ground and are grazing on the grass. Grazing is the same as eating for horses.,Yes,One person is actually putting food in her mouth which is what eating is. They are also sitting at a set table with food and utensils there for eating. They are sitting in front of the food taking it off of their plates and putting it in their mouths.,No,This is a kitchen where food is prepared but the only person there is preparing food but no one is eating food. There is no prepared food visible and no one placed anywhere to eat food.,No,"Nothing is being put into anything's mouth, which is the definition of eating. Eating is an action and it should be happening in the photo for it to be a yes for eating. Just showing food is not the same as eating the food.",Strongly Agree,Eating is an actual action that is easy to see or not see.,Strongly Agree,The action of eating is easy to define and look out for.,Food visibly in the mouth or at the mouth makes it definite that eating is taking place.,
10,Yes,people are sitting around a table with food and drinks . There are forks and menus present,Yes,The horse is licking a salt cube.,Yes,people are sitting around a table. there are plates and utensils. there is food on the plates and in peoples hands. Food is being placed in their mouth,No,This is cooking not eating no food is visible and someone is standing at a stove,Yes,There is food next to a fork.,Strongly Agree,I was able to demonstrate several things that indicated eating,Agree,Some of the indicators of eating could indicate other things,more examples of what is not eating and why,
11,Yes,A person and food.,Yes,"well, horses can eat too. I guess I should have included all animals and food.",Yes,human beings and food and somewhere that people eat.,No,"there isn't any food, just someone cooking food.",No,"no, there wasn't anyone eating, there isn't a person in the picture.",Agree,I think I did a good job with the examples,Disagree,it only had one example of eating being by a horse.,the idea of animals. and living organism,
12,Yes,"The men in the photo are sitting at a table with food on pates in front of them. They are using forks to put the food in their mouths, which is eating.",Yes,"The horse is licking the salt block. This transfers the salt from the block into the horse's mouth, so the horse is eating the salt.",Yes,"The girls are sitting at a table with food on plates in front of them.. They are picking up the food and putting it into their mouths, so they are eating.",Yes,This image shows the preparation necessary for eating. A human in in a kitchen fixing food for eating off of the plates laid out.,Yes,"The cake in the image is a type of food. It has been placed on a plate with a fork and a napkin, because someone has prepared it to be eaten.",Agree,I have told the computer that food going into a mouth is eating and that food on pates has been prepared to be eaten.,Agree,"All humans and most animals ingest food by placing it in their mouths, so the computer should be able to identify this action in future images.",Perhaps that living things have to digest the food for it to be eaten.,
13,Yes,The people have plates of food in front of them. They are holding eating utensils so they can take a bite of food.,Unsure,"This is a horse licking a cube. It is in way eating, but not really. Unlike humans, horse do not use there hands to feed themselves,they use their mouth. So in a way this is eating form a horses point of view.",Yes,The people have plates of food in front of them. They are using both their hands and utensils to put the food in their mouth to eat. Sitting at a table is another symbol of someone eating.,No,"This person is not eating, she is simply preparing the food for someone else to eat. She is not actually putting the food in her mouth to eat. The food on the counter is for someone else to eat, but nobody is eating it at this time.",Yes,This is food that will soon be eaten. It is on a serving plate with a fork. The fork will be used to take bites from the food.,Strongly Agree,"I explained the concepts of eating, and what humans do to eat. I feel I expressed myself in a way that the computer would understand.",Strongly Agree,"I think if the computer looks for the clues I have given, then yes, I think the computer will be able to tell from future pictures, if someone is eating or not.",Some people may not be sitting at the table when they eat. Nor will they always eat with a plate and utensil. It could be hand held food. Like an ice cream cone.,
14,Yes,"The picture is of a line of military men sitting at a long table, all with food in front of them and some with forks in hand. They are clearly in the middle of a meal, even though some of them have stopped eating to look at the camera.",Yes,"The photo is of a young horse with its tongue out, licking a salt block in a trough. Horses lick salt blocks for the minerals in them to supplement their main diet.",Yes,"The photo is of a restaurant, with a table of girls in the foreground. One of them is picking up food with her fingers, a second is currently chewing on a piece of what looks like a small chicken leg. Another clue that the picture taker is also eating, even though s/he is not shown, is that his/her plate has utensils resting on the plate as if they stopped eating to take the photo.",No,"This photo is purely of food preparation, not eating. I see plates with some food on them, but there is no one actively in the process of conveying that food to their mouths. There is only a single person with her back to us leaning over a stove.",No,There is no one actively in the process of eating the food. It is merely a photo of a slice of cake and a fork displayed on a plate. There aren't even any bite marks in or pieces missing from the cake.,Agree,"I pointed out context clues such as utensils in hand, food being brought to mouths, and plates of food in front of people.",Agree,"I believe I did a satisfactory job of pointing out context clues such as utensils in hand, food being brought to mouths, and plates of food in front of people.","Some photos may be ambiguous, such as full untouched plates of food in front of people. It may be that the food is for display purposes only and even made out of inedible materials to resemble edible food (for example, food displays in a cafe window).",
15,Yes,there are people putting food on forks and raising food to their mouths,No,there is no food in the picture. the horse is licking a salt block that is not eating,Yes,there is food on the plates. one woman is putting food in her mouth another woman is picking up food in her hand,No,there are no people or animals consuming any food,No,there is only a picture of a piece of cake the is no people or animals consuming this cake,Neutral,I don't believe computers can be taught concepts.,Neutral,I don't believe computers can be taught concepts.,I don't believe computers can be taught concepts.,
