Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
1,Yes,nightstands are normally placed next to a bed. located in a bedroom.,Yes,lamp and alarm clocks are often found on night stands,Yes,sitting next to a bed,No,This is a dining room. These are tables. They are to tall and large.,No,nightstands look like tables. sometimes include a drawer. not shelves.,Agree,gave it every bit of information I could provide,Agree,it was just 5 examples but cant think of anything better,i cant think of anything,,
2,Yes,There are 2 nightstands. One on the left of the bed and one on the right. They are small brown tables.,Yes,The table between the 2 beds is a nightstand.,Yes,There a nightstand against the wall between the bed. it's a small table near the bed.,No,These are dining room tables. This is not a bedroom and there is no nightstand.,No,There are tables but they are not next to a bed. A nightstand is a table next to a bed.,Agree,I clearly explained that a nightstand is a table next to a bed.,Agree,I pointed out the requirements of what a nightstand is,i cant think of anything,,
3,Yes,"The object to the right of the bed is a nightstand. I can't see the object to the left of the bed well enough to say whether it is or isn't The nightstand has four legs and is roughly the height of the bed. It has a small surface for holding in this case a lamp, or a book.",Yes,"The object under the lamps on the wall, between the beds, is a nightstand. It has four legs and a flat surface roughly equal to the height of the bed. It holds a phone and an alarm clock in this instance.",Yes,"The object next to the bed on the far wall is a nightstand. Again it is a roughly the same height as the bed, and is big enough to hold a lamp and a book, a pair of glasses, and a glass of water, not much more.",No,"This is a restaurant, and the furniture depicted is of tables and chairs. A nightstand is a kind of table, but it is typically lower to the ground, and typically placed beside a bed in a bedroom.",No,"Nightstands are typically found in bedrooms, at the side of beds. This is a media stand containing the tv and consoles, and a shelf contining dvds and games. But there is not short flat surface on legs situated near a bed.",Agree,"The concept nightstand has clear boundaries, and a definable setting.",Agree,"There are rules defining what a nightstand is, and the settings in which it's found. I'm reasonably confident that the computer could recognize them .","I'm sure there are ""outlier"" nightstands that are not reflected by the rules I provided, or nightstands in non-bedroom settings.",,
4,Yes,There is a nightstand in this picture. The first indication that there is possibly a nightstand is the fact that this is a room that contains a bed. The end of the bed with pillows often has a nightstand on one or both sides of it.,Yes,"This image contains beds, so there is a good possibility that there is a nightstand. There is also a lamp, which is often found on top of a nightstand. Find the side of the bed that has pillows and there is often a nightstand with a lamp nearby.",Yes,"There is a bed in this image, which often suggests there is a nightstand. In this picture, the side of the bed with pillows has a nightstand on the side. Nightstands often have lamps on top of them.",No,Nightstands are most often found in a bedroom. Nightstands are wooden rectangular prisms that contain drawers to hod things. This scene shows tables and chairs which would not be found near a nightstand.,No,"There are racks or stands in this picture, but they are not nightstands. In order to identify a nightstand, a bed is the firsts thing you should look for. There is not a bed in this image. There appears to be a lamp at the top of one of the stands, but because there is not bed, this is not a nightstand.",Agree,"I chose tangible indicators to search for: a bed, an end with pillows, a lamp nearby. This is a good start for a search to identify a lamp.",Agree,The same logic as above. I gave specific items to look for in any picture.,I am fairly confident that I have set good ground rules for a search.,,
5,Yes,"In this picture there are two nightstands, at the two sides of the bed, and there are lamps on top of them. This is the common position for the nightstands, and they can have small shelves like in this case or, more commonly, many, big shelves in which to put our stuff.",Yes,"There is a nightstand between the two beds. It's easily recognizable for its shape, position, and function (holding a lamp).",Yes,"There is a nightstand in the corner. It cannot be see clearly, but you understand from its position and from its use, holding a lamp, that this piece of furniture it's a nightstand.",No,"There is a fireplace and many chairs and tables, but no other pieces of furniture and no nightstands in this picture",No,"In this picture there are two bookshelves, one with square shelves and one with round ones, plus a TV stand. There is no nightstand",Strongly Agree,"Because I gave the computer all the useful indication about the shape, the position, and the function of the nightstands",Strongly Agree,The computer should be able now to recognize any nightstand it will see,"It would have been useful to see a nightstand next to a bookshelf to make a direct comparison, but the info I gave the computer should be enough anyway",,
6,Yes,"On either side of the bed is a small table. The table has a small surface, a drawer, and four legs. It also holds a lamp, which nightstands often do.",Yes,"There is a small table between the two beds. This table is called a nightstand. Typical items a nightstand is used to hold are also present, in particular a clock and a lamp.",Yes,There is a small table beside the bed. It holds a lamp and a couple of books.,No,"These tables are large. They exist independent of a bed. They are in a dining room, not a bedroom. They hold items used for mealtimes, such as napkins, salt and pepper shakers, and cups of water.",No,"There are no little tables here, only shelves and large stands. This room has a television and a variety of entertainment devices such as video game consoles. This is not a bedroom. There is no bed.",Agree,"I think we've covered the basics of ""nightstand"" fairly thoroughly.",Agree,"We've covered context, what it's used for, and what it is.",I can't think of anything that's been left out.,,
7,Yes,it is by the bed and a stand you use at night making it a nightstand when you normally sleep in your bed.,Yes,it is by two beds and a stand you use at night making it a nightstand,Yes,it is by the bed and a stand you use at night making it a nightstand,No,there are no beds or bedrooms in the above pic. it is a dining room where a nightstsand would not be kept.,No,this is a living room not a bedroom wherte nightstands are kkep,Strongly Agree,i told in greart detail what the object was and was not,Strongly Agree,the pc know what and where to look,i did not teach it that people can use nightstands other places,,
8,Yes,"The photo contains two night stands. One nightstand is on the left of the bed and the other is on the right side of the bed. The room is a bedroom. A bed, chest and dresser are visible. A lamp sits on each nightstand. One nightstand appears to hold books. The other nightstand has a drawer.",Yes,A nightstand is usually next to a bed. It is a small table with or without a drawer. Items are often present on top of a nightstand. In this picture a nightstand is visible between the beds and below the lamps.,Yes,A small nightstand is partially visible behind the bed in the upper middle part of the photo. It has a small lamp and book on top. The room is a bedroom and a small table next to the bed is a nightstand.,No,There are tables and a fireplace mantle with items on it in this photo. Fireplace mantles are not nightstands. This photo does not contain a nightstand. The tables are covered with cloth and dishes. Dining room tables are not nightstands.,No,A nightstand is used in a bedroom. There are other types of stands. This picture contains a TV stand in an undetermined room. A TV stand is not a nightstand. A TV stand has a TV on top and may have other items on it.,Agree,"The shapes and sizes and visibility of a nightstand varied. I think the training tried to make clear a nightstand is in a bedroom, next to a bed. I gave it qualities, but those were not exhaustive. There could be other styles that are missed, even if somewhat similar.",Neutral,"The angles, determining if the location is a bedroom and whether the style differs a lot might keep the computer from recognizing a nightstand is in the picture. All 3 of the nightstands shown were different.","I think I described a few variations based on what was shown in three examples. I also contrasted it with other flat tables and a mantle that should be excluded. Maybe a longer list of tables that match the qualities of a nightstand need to be added to the training, like an end table.",,
9,Yes,There are actually two nightstands beside the bed with lamps on them in the bedroom. That is what a nightstand is.,Yes,The table beside the beds is a night stand. It is in a bedroom and is a table beside a bed. That is the definition of a nightstand.,Yes,A table is by the bed with books and a lamp on it. That is what a night stand is.,No,"Nightstands are in bedrooms beside a bed. This is a dining room, not a bedroom and there are tables in here but no bed.",No,A nightstand is beside a bed in a bedroom. This is not a bedroom and there is no bed with tables beside it.,Strongly Agree,A nightstand is a table beside a bed in a bedroom. It is a clear description.,Strongly Agree,I gave a clear description of what a nightstand is.,"I don't think I missed anything, I gave a clear explanation.",,
10,Yes,There is a table with a drawer next to a bed. This is obviously a bedroom.,Yes,"There is a table, with a drawer, between two beds. There is a lamp on the table in what is obviously a hotel room.",Yes,"There is a table, with a lamp on top, next to a bed.",No,This is a restaurant dining room. These tables are for eating. There are chairs and dishes. There are no beds in this room.,No,There is a television and entertainment system in a living room. There are instruments present and no beds.,Strongly Agree,Because I was able to demonstrate things that needed to be present to constitute a nightstand.,Agree,I was able to identify what was and was not a nightstand,more examples of what is not a nightstand,,
