Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
1,Yes,"broken, torn, nonfunctioning, peeling",Yes,"broken down , discolored, peeling paint",Yes,"yellowish, holes, the clothes being worn",No,"very modern look, recent models",Yes,"old models , worn",Agree,good examples of worn down items,Agree,"cant think of anything else to show,",maybe some old humans,,
2,Yes,"The pain shows aging like peeling, cracking and just being dry. The metal pieces are worn and rusty from being outside so long.",Yes,The boat shows signs of rust and wears from being exposed to the elements. There was once a large body of water there but over time its disappeared.,Yes,The picture is in black and white because its from a time before color film. There are age markings on the photograph itself that would show wear.,No,It looks like a modern hotel room. Theres no time difference.,Yes,It shows the progression of cell phones across the years and the changes in their designs,Agree,"I followed the examples given at the start, but most of the images were pretty clear in how they could represent ""old"".",Agree,I described how old was represented and in a way basic enough to understand easily.,"it would need to be able to tell when something is old or just seems old. The hotel room was modern, but 70s modern.",,
3,Yes,"Both the watch and the background look old. The paint on the metal surface is peeling and the surface itself is bent and somewhat rusted, suggesting age. The watch seems to be an antique and looks somewhat battered. I",Yes,The boat depicted in the photo looks old and decrepit. Evidence of decay is a clue suggesting whether something is old.,Yes,"Old means aged. This is an old photo: it is black and white, and appears to be taken some time ago. And at least one man pictured could be classified as old.",No,Nothing in the image and in the room depicted in the image immediately suggests something old. THe room looks fairly new and the decor in the room looks newish too.,Yes,"These phones are old in the sense that they are outdated. tHey are early models of mobile phones. Their age (oldness) is measured relative to other phones. Old is not an absolute category, therefore, but a relative/comparative one.",Disagree,"Old is a slippery concept, and I don't think I really did an adequate job of providing rules for recognizing it.",Strongly Disagree,I imagine many examples of old things that would escape the minimal definitions I provided.,The concept of relative age is difficult. And how to recognize the old in non-organic things.,,
4,Yes,"There are abrupt changes in color in this image. There are objects that have pieces missing, are cracked, and are chipped. This is a color image, but the abrupt changes in color are indicative of the concept of old.",Yes,"This image contains a boat which has several abrupt color changes. There are pieces that are disfigured and missing. Rust, an orange component of objects, is often an indication of old things.",Yes,Images that are black and white are often old. There is an old man in this picture. The man second from the left is old. You can tell because he has looser skin than the other men.,No,"This image does not contain old. There are no unexpected abrupt interruptions in color. None of the surfaces have missing pieces, cracks, or chips. The image is not black and white.",Yes,"Old objects often have abrupt changes in color on their surfaces. Old objects can have missing pieces, scratches, or cracks in them.",Neutral,Old is an abstract contract. It is MUCH more difficult to determine an algorithm to identify the intangible.,Strongly Disagree,The concept of old is difficult to convey. I had to hone in on specific situations that were dissimilar from picture to picture.,Plenty. Old is an adjective that can apply to so many different objects that I feel it is very difficult to encapsulate it all in a brief description.,,
5,Yes,"This door, or piece of furniture, looks really old for all the dents, the missing paints, and the ""fixing"" it has.",Yes,"The boat looks old because the paint is ruined, there are dents and it looks rusted as well, so it must have been painted and then been used long time ago.",Yes,"From the style of the clothes, and from the color of the picture, it's easy to understand that this picture has been taken long time ago, maybe 50 or more years ago, and it can be considered relatively old.",No,"The style of the nightstand resembles a little one of those old radios, but this picture and its content don't show the concept of old.",Yes,"These phones are 10 and more years old, and even if this amount of time it's relatively short, if we think about the speed with which the technology evolves and get replaced, we can consider those cellular phone ""old"", almost ""prehistoric"".",Neutral,"I think I gave the computer may hints about what means to be ""old"", but this is a difficult concept, maybe it would have been necessary to use 50 pictures to explain it better rather than just 5.",Neutral,"The computer will be able to recognize old/ruined objects, but I don't know if it will be able to understand what is genuinely old and what it just looks old.","This concept was a lot harder than the others, I might have used the picture of a grandpa with his grandson or the picture of a Model A and one of a BMW Z4..",,
6,Yes,The items in this image are rusted and falling apart. Paint is chipping from the wall. The wood is burnt. The clock is broken. All of these are things that happen over time. You don't tend to see damage like this in things that are not old.,Yes,"The boat in this image looks very old. The paint is faded and chipping. One side of the cabin is another color, as though it might be rusting. The wood has weathered, and is coming apart.",Yes,"This photo is sepia in tone, rather than in color, and it has faded a bit. It's not very clear. This tells me it is old. I can also tell it's old because the fashions and styles worn by the men in the picture are from many years ago.",No,Nothing in this image stands out as old. The items in the image all appear to be recent. There are no clear signs of wear.,No,"This image is in color. The items in the image are all representations of modern technology. The items are in good repair, uniform in color, unblemished in appearance. This is not an old photo, nor are the items in it old.",Agree,"We've covered the topic fairly thoroughly, with good examples.",Agree,Dating the photo and the items in it has been covered.,"The computer likely needs additional experience of its own with antiques, which often appear in great repair, but are very old.",,
7,Yes,the rust and decay on the door and the broken clock parts. the peeling paint also,Yes,the boat is old an rusty and full of decay.,Yes,this photo is in balck and white and faded,No,the room is so modern. the lines are slick and very mismmal. it looks kind of retro but that future type of retro.,Yes,these phones are old in terms of tech they are from the late 90s and early 2000s and are soem of the first ones out.,Agree,i used soem common things people use to tell if something is old,Agree,i talked about decya and rust things that seem to olny happen to older things,i could not tell the pc about the differnt levels of old,,
8,No,"This appears to be a recently made object on the door, combined in a way to make it look like it was inspired by old clockwork style. The shininess of the clock and design look recently made and the torch cutting and burns on the door look like it was done recently due to the soot and lack of oxidation on the exposed metal in the picture.",Yes,A boat is sitting in what looks like a dried lake bed. It may have sunk or been simply abandoned when the water levels dropped. The paint on the boat is worn and chipped and the boat appears to be rusted. Those signs suggest the boat was left out for many years and is old.,Yes,The fashion style of the man in a suit and soldiers is typical of the 1940s and 1950s. The graininess of the photo and spots on it make it appear to be old.,Yes,The room has retro furnishings. The style of the furniture looks to be inspired by 1960 designs. The round shape of the nightstand includes design elements of older designs. The lamps next to the bed also have an old design. The chair and frosted glass are styles more common from several decades ago.,Yes,"Several generations of phones are displayed from newest on the left to older models on the right. The design of phones have changed much over this period. A phone that is 20 years old, like the ones on the right side, were far more primitive and utilitarian for making phone calls only. New phones are much more capable and flexible devices.",Agree,"Understanding design concepts and inspirations will require much more information. For example, the clothes in one picture is a very high level concept. For the clock set in an iron piece, the inspiration for 18th or 19th century style designs requires knowing what it really looked like. Also, the cell phone picture depends on old in the relative sense: it's a span of 20 years and has undergone many iterations in that type, causing obsolescence. In other ways I think the descriptions I wrote helped. Recognizing whether an item is rusted or not, and how clean it looks outside could help determine if something is old. Also, grainy and spotted photos could be old too.",Disagree,"There are may ways an object can be considered to contain the concept old. Physical properties of weathering, wear and design could mean old, but there are other items that are old which lack one or more of those properties. Some modern items could have superficial similarities to old items, but could be completely new overall.","It would need a large body of knowledge on design of objects and how it has changed over time and understand how to recognize whether an item represents an example of its class of objects. Color pallets, surface reaction to wear, where items belong and what items are used for is needed to understand the context of the item in a photo.",,
9,Unsure,Some parts of the display look old but they are put together in a way that indicates this is an art installation and not an actual scene. The clock part is old and the scorched wood and door might be old but the art might have been arranged very recently.,Yes,"The boat itself is beached and weathered, indicating age. The boat is wooden which is typical of old boats and the paint is chipped and fading all over, like happens in extreme age of boats.",Yes,The photo is in black and white and the style of clothing is old. Especially the width and length of the ties indicates that the photo is especially old. The hair styles are old and the vest that the man is wearing indicates age of the photo.,No,"The room is designed in a modern, new fashion. The lighting is bright with light woods and metal. Especially the opaque glass for the bathroom is a feature of very new and modern hotel rooms. The bedding is also new looking. No part of the photo conveys anything that looks old.",Yes,"Some phones are older styles, like the ones with complete keyboards or phone dial buttons only. The small phones are more likely than not to be old.",Agree,I pointed out specific features of the photos that indicate old features or new features(that negate old in the photo).,Agree,"The computer should be able to look for things in a photo that indicate new, like styles of furnishings or clothing or coloring that might show age.",It is difficult to tell whether the point is the PHOTO being old or something IN the photo being old. Those are different things. Like the art installation was probably new but some things in it were old.,,
10,Yes,The paint is peeling the metal is rusted the wood is splintered,Yes,The paint is peeling. the wood is rotten. the boat is broken,Yes,The image is black and white/ the style of clothes is old,No,the style is modern. the furniture is new and undamaged. nothing broken peeling or rotten,No,there is no indication of wear or damage,Agree,I showed several things that indicate age,Neutral,I demonstraed some things that indicate newness,more examples of what is not old,,
